,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
250,0 days 01:21:10.494000,STR,18,0 days 00:01:24.650000,16.0,2.0,,,29.194,17.98,37.476,0 days 01:20:15.001000,0 days 01:20:32.981000,0 days 01:21:10.457000,272.0,329.0,301.0,305.0,False,HARD,9.0,False,Aston Martin,0 days 01:19:45.844000,2024-03-24 04:24:29.042,1,9.0,False,,False,True,84.65,84.65
251,0 days 01:22:53.763000,STR,18,0 days 00:01:43.269000,17.0,2.0,,,29.212,25.841,48.216,0 days 01:21:39.669000,0 days 01:22:05.510000,0 days 01:22:53.726000,271.0,209.0,211.0,289.0,False,HARD,10.0,False,Aston Martin,0 days 01:21:10.494000,2024-03-24 04:25:53.692,267,7.0,False,,False,False,103.269,103.269
252,0 days 01:24:19.764000,STR,18,0 days 00:01:26.001000,18.0,2.0,,,31.146,18.269,36.586,0 days 01:23:24.872000,0 days 01:23:43.141000,0 days 01:24:19.727000,278.0,304.0,301.0,232.0,False,HARD,11.0,False,Aston Martin,0 days 01:22:53.763000,2024-03-24 04:27:36.961,7,8.0,False,,False,False,86.001,86.001
253,0 days 01:25:42.869000,STR,18,0 days 00:01:23.105000,19.0,2.0,,,28.71,18.244,36.151,0 days 01:24:48.437000,0 days 01:25:06.681000,0 days 01:25:42.832000,271.0,302.0,288.0,308.0,False,HARD,12.0,False,Aston Martin,0 days 01:24:19.764000,2024-03-24 04:29:02.962,1,8.0,False,,False,True,83.105,83.105
254,0 days 01:27:05.791000,STR,18,0 days 00:01:22.922000,20.0,2.0,,,28.668,18.233,36.021,0 days 01:26:11.500000,0 days 01:26:29.733000,0 days 01:27:05.754000,273.0,299.0,289.0,291.0,False,HARD,13.0,False,Aston Martin,0 days 01:25:42.869000,2024-03-24 04:30:26.067,1,8.0,False,,False,True,82.922,82.922
255,0 days 01:28:28.419000,STR,18,0 days 00:01:22.628000,21.0,2.0,,,28.674,18.202,35.752,0 days 01:27:34.428000,0 days 01:27:52.630000,0 days 01:28:28.382000,,300.0,289.0,290.0,True,HARD,14.0,False,Aston Martin,0 days 01:27:05.791000,2024-03-24 04:31:48.989,1,8.0,False,,False,True,82.628,82.62800000000001
256,0 days 01:29:51.324000,STR,18,0 days 00:01:22.905000,22.0,2.0,,,28.641,18.185,36.079,0 days 01:28:57.023000,0 days 01:29:15.208000,0 days 01:29:51.287000,274.0,300.0,287.0,303.0,False,HARD,15.0,False,Aston Martin,0 days 01:28:28.419000,2024-03-24 04:33:11.617,1,8.0,False,,False,True,82.905,82.905
257,0 days 01:31:14.185000,STR,18,0 days 00:01:22.861000,23.0,2.0,,,28.795,18.236,35.83,0 days 01:30:20.082000,0 days 01:30:38.318000,0 days 01:31:14.148000,273.0,300.0,287.0,294.0,False,HARD,16.0,False,Aston Martin,0 days 01:29:51.324000,2024-03-24 04:34:34.522,1,8.0,False,,False,True,82.861,82.861
258,0 days 01:32:37.037000,STR,18,0 days 00:01:22.852000,24.0,2.0,,,28.715,18.159,35.978,0 days 01:31:42.863000,0 days 01:32:01.022000,0 days 01:32:37,274.0,300.0,288.0,290.0,False,HARD,17.0,False,Aston Martin,0 days 01:31:14.185000,2024-03-24 04:35:57.383,1,8.0,False,,False,True,82.852,82.852
259,0 days 01:33:59.978000,STR,18,0 days 00:01:22.941000,25.0,2.0,,,28.821,18.203,35.917,0 days 01:33:05.821000,0 days 01:33:24.024000,0 days 01:33:59.941000,273.0,299.0,287.0,292.0,False,HARD,18.0,False,Aston Martin,0 days 01:32:37.037000,2024-03-24 04:37:20.235,1,8.0,False,,False,True,82.941,82.941
260,0 days 01:35:23.272000,STR,18,0 days 00:01:23.294000,26.0,2.0,,,28.858,18.27,36.166,0 days 01:34:28.799000,0 days 01:34:47.069000,0 days 01:35:23.235000,271.0,296.0,288.0,296.0,False,HARD,19.0,False,Aston Martin,0 days 01:33:59.978000,2024-03-24 04:38:43.176,1,8.0,False,,False,True,83.294,83.294
261,0 days 01:36:46.464000,STR,18,0 days 00:01:23.192000,27.0,2.0,,,28.78,18.21,36.202,0 days 01:35:52.015000,0 days 01:36:10.225000,0 days 01:36:46.427000,273.0,299.0,288.0,293.0,False,HARD,20.0,False,Aston Martin,0 days 01:35:23.272000,2024-03-24 04:40:06.470,1,8.0,False,,False,True,83.192,83.19200000000001
262,0 days 01:38:09.523000,STR,18,0 days 00:01:23.059000,28.0,2.0,,,28.871,18.249,35.939,0 days 01:37:15.298000,0 days 01:37:33.547000,0 days 01:38:09.486000,274.0,297.0,288.0,300.0,False,HARD,21.0,False,Aston Martin,0 days 01:36:46.464000,2024-03-24 04:41:29.662,1,8.0,False,,False,True,83.059,83.059
263,0 days 01:39:32.658000,STR,18,0 days 00:01:23.135000,29.0,2.0,,,28.955,18.347,35.833,0 days 01:38:38.441000,0 days 01:38:56.788000,0 days 01:39:32.621000,271.0,298.0,287.0,290.0,False,HARD,22.0,False,Aston Martin,0 days 01:38:09.523000,2024-03-24 04:42:52.721,1,8.0,False,,False,True,83.135,83.13499999999999
264,0 days 01:40:55.782000,STR,18,0 days 00:01:23.124000,30.0,2.0,,,28.875,18.298,35.951,0 days 01:40:01.496000,0 days 01:40:19.794000,0 days 01:40:55.745000,273.0,297.0,287.0,293.0,False,HARD,23.0,False,Aston Martin,0 days 01:39:32.658000,2024-03-24 04:44:15.856,1,8.0,False,,False,True,83.124,83.124
265,0 days 01:42:19.303000,STR,18,0 days 00:01:23.521000,31.0,2.0,,,29.11,18.331,36.08,0 days 01:41:24.855000,0 days 01:41:43.186000,0 days 01:42:19.266000,,296.0,288.0,290.0,False,HARD,24.0,False,Aston Martin,0 days 01:40:55.782000,2024-03-24 04:45:38.980,1,8.0,False,,False,True,83.521,83.521
266,0 days 01:43:42.460000,STR,18,0 days 00:01:23.157000,32.0,2.0,,,28.921,18.262,35.974,0 days 01:42:48.187000,0 days 01:43:06.449000,0 days 01:43:42.423000,275.0,295.0,288.0,301.0,False,HARD,25.0,False,Aston Martin,0 days 01:42:19.303000,2024-03-24 04:47:02.501,1,8.0,False,,False,True,83.157,83.157
267,0 days 01:45:05.726000,STR,18,0 days 00:01:23.266000,33.0,2.0,,,29.001,18.354,35.911,0 days 01:44:11.424000,0 days 01:44:29.778000,0 days 01:45:05.689000,272.0,294.0,287.0,294.0,False,HARD,26.0,False,Aston Martin,0 days 01:43:42.460000,2024-03-24 04:48:25.658,1,8.0,False,,False,True,83.266,83.266
268,0 days 01:46:28.840000,STR,18,0 days 00:01:23.114000,34.0,2.0,,,28.986,18.288,35.84,0 days 01:45:34.675000,0 days 01:45:52.963000,0 days 01:46:28.803000,275.0,296.0,288.0,289.0,False,HARD,27.0,False,Aston Martin,0 days 01:45:05.726000,2024-03-24 04:49:48.924,1,8.0,False,,False,True,83.114,83.114
269,0 days 01:47:52.238000,STR,18,0 days 00:01:23.398000,35.0,2.0,,,29.054,18.316,36.028,0 days 01:46:57.857000,0 days 01:47:16.173000,0 days 01:47:52.201000,273.0,295.0,287.0,293.0,False,HARD,28.0,False,Aston Martin,0 days 01:46:28.840000,2024-03-24 04:51:12.038,1,8.0,False,,False,True,83.398,83.398
270,0 days 01:49:15.445000,STR,18,0 days 00:01:23.207000,36.0,2.0,,,29.035,18.282,35.89,0 days 01:48:21.236000,0 days 01:48:39.518000,0 days 01:49:15.408000,,296.0,287.0,300.0,False,HARD,29.0,False,Aston Martin,0 days 01:47:52.238000,2024-03-24 04:52:35.436,1,7.0,False,,False,True,83.207,83.207
271,0 days 01:50:52.971000,STR,18,0 days 00:01:37.526000,37.0,2.0,,0 days 01:50:37.151000,28.958,18.264,50.304,0 days 01:49:44.366000,0 days 01:50:02.630000,0 days 01:50:52.934000,274.0,297.0,,290.0,False,HARD,30.0,False,Aston Martin,0 days 01:49:15.445000,2024-03-24 04:53:58.643,1,8.0,False,,False,False,97.526,97.526
272,0 days 01:52:20.818000,STR,18,0 days 00:01:27.847000,38.0,3.0,0 days 01:50:54.981000,,34.155,18.064,35.628,0 days 01:51:27.089000,0 days 01:51:45.153000,0 days 01:52:20.781000,272.0,315.0,288.0,230.0,False,HARD,2.0,False,Aston Martin,0 days 01:50:52.971000,2024-03-24 04:55:36.169,1,8.0,False,,False,False,87.847,87.84700000000001
273,0 days 01:53:42.860000,STR,18,0 days 00:01:22.042000,39.0,3.0,,,28.498,18.275,35.269,0 days 01:52:49.279000,0 days 01:53:07.554000,0 days 01:53:42.823000,269.0,295.0,288.0,287.0,True,HARD,3.0,False,Aston Martin,0 days 01:52:20.818000,2024-03-24 04:57:04.016,1,8.0,False,,False,True,82.042,82.042
274,0 days 01:55:04.960000,STR,18,0 days 00:01:22.100000,40.0,3.0,,,28.665,18.23,35.205,0 days 01:54:11.488000,0 days 01:54:29.718000,0 days 01:55:04.923000,,297.0,288.0,286.0,False,HARD,4.0,False,Aston Martin,0 days 01:53:42.860000,2024-03-24 04:58:26.058,1,8.0,False,,False,True,82.1,82.1
275,0 days 01:56:27.204000,STR,18,0 days 00:01:22.244000,41.0,3.0,,,28.417,18.198,35.629,0 days 01:55:33.340000,0 days 01:55:51.538000,0 days 01:56:27.167000,272.0,298.0,289.0,289.0,False,HARD,5.0,False,Aston Martin,0 days 01:55:04.960000,2024-03-24 04:59:48.158,1,8.0,False,,False,True,82.244,82.244
276,0 days 01:57:49.033000,STR,18,0 days 00:01:21.829000,42.0,3.0,,,28.383,18.2,35.246,0 days 01:56:55.550000,0 days 01:57:13.750000,0 days 01:57:48.996000,271.0,300.0,289.0,295.0,True,HARD,6.0,False,Aston Martin,0 days 01:56:27.204000,2024-03-24 05:01:10.402,1,8.0,False,,False,True,81.829,81.82900000000001
277,0 days 01:59:10.755000,STR,18,0 days 00:01:21.722000,43.0,3.0,,,28.38,18.055,35.287,0 days 01:58:17.376000,0 days 01:58:35.431000,0 days 01:59:10.718000,273.0,299.0,289.0,299.0,True,HARD,7.0,False,Aston Martin,0 days 01:57:49.033000,2024-03-24 05:02:32.231,1,8.0,False,,False,True,81.722,81.72200000000001
278,0 days 02:00:32.747000,STR,18,0 days 00:01:21.992000,44.0,3.0,,,28.476,18.074,35.442,0 days 01:59:39.194000,0 days 01:59:57.268000,0 days 02:00:32.710000,275.0,298.0,289.0,291.0,False,HARD,8.0,False,Aston Martin,0 days 01:59:10.755000,2024-03-24 05:03:53.953,1,8.0,False,,False,True,81.992,81.99199999999999
279,0 days 02:01:54.350000,STR,18,0 days 00:01:21.603000,45.0,3.0,,,28.27,18.094,35.239,0 days 02:01:00.980000,0 days 02:01:19.074000,0 days 02:01:54.313000,276.0,298.0,290.0,,True,HARD,9.0,False,Aston Martin,0 days 02:00:32.747000,2024-03-24 05:05:15.945,1,8.0,False,,False,True,81.603,81.60300000000001
280,0 days 02:03:15.781000,STR,18,0 days 00:01:21.431000,46.0,3.0,,,28.26,18.093,35.078,0 days 02:02:22.573000,0 days 02:02:40.666000,0 days 02:03:15.744000,275.0,299.0,291.0,,True,HARD,10.0,False,Aston Martin,0 days 02:01:54.350000,2024-03-24 05:06:37.548,1,8.0,False,,False,True,81.431,81.43100000000001
281,0 days 02:04:36.795000,STR,18,0 days 00:01:21.014000,47.0,3.0,,,28.162,18.105,34.747,0 days 02:03:43.906000,0 days 02:04:02.011000,0 days 02:04:36.758000,277.0,301.0,290.0,293.0,True,HARD,11.0,False,Aston Martin,0 days 02:03:15.781000,2024-03-24 05:07:58.979,1,8.0,False,,False,True,81.014,81.014
282,0 days 02:05:57.904000,STR,18,0 days 00:01:21.109000,48.0,3.0,,,28.185,18.076,34.848,0 days 02:05:04.943000,0 days 02:05:23.019000,0 days 02:05:57.867000,276.0,297.0,290.0,291.0,False,HARD,12.0,False,Aston Martin,0 days 02:04:36.795000,2024-03-24 05:09:19.993,1,8.0,False,,False,True,81.109,81.109
283,0 days 02:07:18.834000,STR,18,0 days 00:01:20.930000,49.0,3.0,,,28.058,18.072,34.8,0 days 02:06:25.925000,0 days 02:06:43.997000,0 days 02:07:18.797000,277.0,298.0,290.0,289.0,True,HARD,13.0,False,Aston Martin,0 days 02:05:57.904000,2024-03-24 05:10:41.102,1,8.0,False,,False,True,80.93,80.92999999999999
284,0 days 02:08:39.825000,STR,18,0 days 00:01:20.991000,50.0,3.0,,,28.152,18.077,34.762,0 days 02:07:46.949000,0 days 02:08:05.026000,0 days 02:08:39.788000,275.0,296.0,290.0,,False,HARD,14.0,False,Aston Martin,0 days 02:07:18.834000,2024-03-24 05:12:02.032,1,8.0,False,,False,True,80.991,80.991
285,0 days 02:10:00.946000,STR,18,0 days 00:01:21.121000,51.0,3.0,,,28.174,18.099,34.848,0 days 02:09:07.962000,0 days 02:09:26.061000,0 days 02:10:00.909000,276.0,298.0,290.0,290.0,False,HARD,15.0,False,Aston Martin,0 days 02:08:39.825000,2024-03-24 05:13:23.023,1,8.0,False,,False,True,81.121,81.121
286,0 days 02:11:22.159000,STR,18,0 days 00:01:21.213000,52.0,3.0,,,28.234,18.166,34.813,0 days 02:10:29.143000,0 days 02:10:47.309000,0 days 02:11:22.122000,275.0,295.0,290.0,299.0,False,HARD,16.0,False,Aston Martin,0 days 02:10:00.946000,2024-03-24 05:14:44.144,1,8.0,False,,False,True,81.213,81.21300000000001
287,0 days 02:12:43.222000,STR,18,0 days 00:01:21.063000,53.0,3.0,,,28.121,18.093,34.849,0 days 02:11:50.243000,0 days 02:12:08.336000,0 days 02:12:43.185000,276.0,295.0,290.0,288.0,False,HARD,17.0,False,Aston Martin,0 days 02:11:22.159000,2024-03-24 05:16:05.357,1,8.0,False,,False,True,81.063,81.06299999999999
288,0 days 02:14:04.352000,STR,18,0 days 00:01:21.130000,54.0,3.0,,,28.029,18.135,34.966,0 days 02:13:11.214000,0 days 02:13:29.349000,0 days 02:14:04.315000,,294.0,290.0,292.0,False,HARD,18.0,False,Aston Martin,0 days 02:12:43.222000,2024-03-24 05:17:26.420,1,8.0,False,,False,True,81.13,81.13
289,0 days 02:15:25.624000,STR,18,0 days 00:01:21.272000,55.0,3.0,,,28.135,18.219,34.918,0 days 02:14:32.450000,0 days 02:14:50.669000,0 days 02:15:25.587000,,295.0,289.0,291.0,False,HARD,19.0,False,Aston Martin,0 days 02:14:04.352000,2024-03-24 05:18:47.550,1,8.0,False,,False,True,81.272,81.27199999999999
290,0 days 02:16:46.857000,STR,18,0 days 00:01:21.233000,56.0,3.0,,,28.132,18.185,34.916,0 days 02:15:53.719000,0 days 02:16:11.904000,0 days 02:16:46.820000,277.0,296.0,290.0,290.0,False,HARD,20.0,False,Aston Martin,0 days 02:15:25.624000,2024-03-24 05:20:08.822,1,8.0,False,,False,True,81.233,81.233
291,0 days 02:18:29.874000,STR,18,0 days 00:01:43.017000,57.0,3.0,,,28.051,28.096,46.87,0 days 02:17:14.871000,0 days 02:17:42.967000,0 days 02:18:29.837000,260.0,246.0,191.0,302.0,False,HARD,21.0,False,Aston Martin,0 days 02:16:46.857000,2024-03-24 05:21:30.055,2,7.0,False,,False,True,103.017,103.017
292,0 days 02:20:29.641000,STR,18,0 days 00:01:59.767000,58.0,3.0,,,42.296,31.967,45.504,0 days 02:19:12.133000,0 days 02:19:44.100000,0 days 02:20:29.604000,120.0,234.0,171.0,198.0,False,HARD,22.0,False,Aston Martin,0 days 02:18:29.874000,2024-03-24 05:23:13.072,6,7.0,False,,False,False,119.767,119.767
293,0 days 01:00:05.043000,MAG,20,0 days 00:01:35.467000,1.0,1.0,,,,18.72,37.819,,0 days 00:59:27.287000,0 days 01:00:05.130000,265.0,318.0,290.0,254.0,False,MEDIUM,1.0,True,Haas F1 Team,0 days 00:58:29.232000,2024-03-24 04:03:12.430,1,13.0,False,,False,False,95.467,
294,0 days 01:01:29.291000,MAG,20,0 days 00:01:24.248000,2.0,1.0,,,29.856,18.052,36.34,0 days 01:00:34.886000,0 days 01:00:52.938000,0 days 01:01:29.278000,272.0,326.0,306.0,291.0,True,MEDIUM,2.0,True,Haas F1 Team,0 days 01:00:05.043000,2024-03-24 04:04:48.241,1,13.0,False,,False,True,84.248,84.248
295,0 days 01:02:52.856000,MAG,20,0 days 00:01:23.565000,3.0,1.0,,,29.255,18.095,36.215,0 days 01:01:58.533000,0 days 01:02:16.628000,0 days 01:02:52.843000,271.0,325.0,303.0,316.0,True,MEDIUM,3.0,True,Haas F1 Team,0 days 01:01:29.291000,2024-03-24 04:06:12.489,1,13.0,False,,False,True,83.565,83.565
296,0 days 01:04:16.385000,MAG,20,0 days 00:01:23.529000,4.0,1.0,,,29.068,18.018,36.443,0 days 01:03:21.911000,0 days 01:03:39.929000,0 days 01:04:16.372000,,327.0,303.0,,True,MEDIUM,4.0,True,Haas F1 Team,0 days 01:02:52.856000,2024-03-24 04:07:36.054,1,12.0,False,,False,True,83.529,83.529
297,0 days 01:05:40.346000,MAG,20,0 days 00:01:23.961000,5.0,1.0,,,29.446,18.061,36.454,0 days 01:04:45.818000,0 days 01:05:03.879000,0 days 01:05:40.333000,,321.0,303.0,311.0,False,MEDIUM,5.0,True,Haas F1 Team,0 days 01:04:16.385000,2024-03-24 04:08:59.583,1,12.0,False,,False,True,83.961,83.96100000000001
298,0 days 01:07:04.300000,MAG,20,0 days 00:01:23.954000,6.0,1.0,,,29.211,18.296,36.447,0 days 01:06:09.544000,0 days 01:06:27.840000,0 days 01:07:04.287000,273.0,307.0,292.0,317.0,False,MEDIUM,6.0,True,Haas F1 Team,0 days 01:05:40.346000,2024-03-24 04:10:23.544,1,12.0,False,,False,True,83.954,83.95400000000001
299,0 days 01:08:42.245000,MAG,20,0 days 00:01:37.945000,7.0,1.0,,0 days 01:08:26.039000,29.198,18.137,50.61,0 days 01:07:33.485000,0 days 01:07:51.622000,0 days 01:08:42.232000,278.0,311.0,,300.0,False,MEDIUM,7.0,True,Haas F1 Team,0 days 01:07:04.300000,2024-03-24 04:11:47.498,1,15.0,False,,False,False,97.945,97.945
300,0 days 01:10:12.224000,MAG,20,0 days 00:01:29.979000,8.0,2.0,0 days 01:08:44.252000,,35.149,18.717,36.113,0 days 01:09:17.381000,0 days 01:09:36.098000,0 days 01:10:12.211000,268.0,300.0,291.0,215.0,False,HARD,1.0,True,Haas F1 Team,0 days 01:08:42.245000,2024-03-24 04:13:25.443,1,15.0,False,,False,False,89.979,89.979
301,0 days 01:11:35.886000,MAG,20,0 days 00:01:23.662000,9.0,2.0,,,29.317,18.413,35.932,0 days 01:10:41.528000,0 days 01:10:59.941000,0 days 01:11:35.873000,271.0,300.0,292.0,292.0,False,HARD,2.0,True,Haas F1 Team,0 days 01:10:12.224000,2024-03-24 04:14:55.422,1,15.0,False,,False,True,83.662,83.662
302,0 days 01:12:59.557000,MAG,20,0 days 00:01:23.671000,10.0,2.0,,,29.145,17.985,36.541,0 days 01:12:05.018000,0 days 01:12:23.003000,0 days 01:12:59.544000,274.0,329.0,303.0,297.0,False,HARD,3.0,True,Haas F1 Team,0 days 01:11:35.886000,2024-03-24 04:16:19.084,1,15.0,False,,False,True,83.671,83.67099999999999
303,0 days 01:14:22.879000,MAG,20,0 days 00:01:23.322000,11.0,2.0,,,29.073,18.025,36.224,0 days 01:13:28.617000,0 days 01:13:46.642000,0 days 01:14:22.866000,273.0,325.0,303.0,315.0,True,HARD,4.0,True,Haas F1 Team,0 days 01:12:59.557000,2024-03-24 04:17:42.755,1,15.0,False,,False,True,83.322,83.322
304,0 days 01:15:45.989000,MAG,20,0 days 00:01:23.110000,12.0,2.0,,,29.117,17.971,36.022,0 days 01:14:51.983000,0 days 01:15:09.954000,0 days 01:15:45.976000,272.0,325.0,303.0,316.0,True,HARD,5.0,True,Haas F1 Team,0 days 01:14:22.879000,2024-03-24 04:19:06.077,1,15.0,False,,False,True,83.11,83.11
305,0 days 01:17:09.052000,MAG,20,0 days 00:01:23.063000,13.0,2.0,,,28.848,18.03,36.185,0 days 01:16:14.824000,0 days 01:16:32.854000,0 days 01:17:09.039000,273.0,323.0,302.0,314.0,True,HARD,6.0,True,Haas F1 Team,0 days 01:15:45.989000,2024-03-24 04:20:29.187,1,15.0,False,,False,True,83.063,83.063
306,0 days 01:18:31.957000,MAG,20,0 days 00:01:22.905000,14.0,2.0,,,28.975,17.955,35.975,0 days 01:17:38.014000,0 days 01:17:55.969000,0 days 01:18:31.944000,275.0,326.0,303.0,315.0,True,HARD,7.0,True,Haas F1 Team,0 days 01:17:09.052000,2024-03-24 04:21:52.250,1,15.0,False,,False,True,82.905,82.905
307,0 days 01:19:55.625000,MAG,20,0 days 00:01:23.668000,15.0,2.0,,,29.093,18.303,36.272,0 days 01:19:01.037000,0 days 01:19:19.340000,0 days 01:19:55.612000,272.0,304.0,293.0,,False,HARD,8.0,True,Haas F1 Team,0 days 01:18:31.957000,2024-03-24 04:23:15.155,1,15.0,False,,False,True,83.668,83.668
308,0 days 01:21:19.186000,MAG,20,0 days 00:01:23.561000,16.0,2.0,,,29.073,18.228,36.26,0 days 01:20:24.685000,0 days 01:20:42.913000,0 days 01:21:19.173000,274.0,303.0,290.0,299.0,False,HARD,9.0,True,Haas F1 Team,0 days 01:19:55.625000,2024-03-24 04:24:38.823,1,13.0,False,,False,True,83.561,83.561
309,0 days 01:23:04.062000,MAG,20,0 days 00:01:44.876000,17.0,2.0,,,33.983,24.021,46.872,0 days 01:21:53.156000,0 days 01:22:17.177000,0 days 01:23:04.049000,146.0,213.0,246.0,298.0,False,HARD,10.0,True,Haas F1 Team,0 days 01:21:19.186000,2024-03-24 04:26:02.384,267,12.0,False,,False,False,104.876,104.876
310,0 days 01:24:27.187000,MAG,20,0 days 00:01:23.125000,18.0,2.0,,,29.28,18.21,35.635,0 days 01:23:33.329000,0 days 01:23:51.539000,0 days 01:24:27.174000,281.0,309.0,291.0,280.0,False,HARD,11.0,True,Haas F1 Team,0 days 01:23:04.062000,2024-03-24 04:27:47.260,1,11.0,False,,False,True,83.125,83.125
311,0 days 01:25:50.035000,MAG,20,0 days 00:01:22.848000,19.0,2.0,,,28.691,18.204,35.953,0 days 01:24:55.865000,0 days 01:25:14.069000,0 days 01:25:50.022000,274.0,303.0,290.0,296.0,True,HARD,12.0,True,Haas F1 Team,0 days 01:24:27.187000,2024-03-24 04:29:10.385,1,11.0,False,,False,True,82.848,82.848
312,0 days 01:27:12.844000,MAG,20,0 days 00:01:22.809000,20.0,2.0,,,28.859,18.147,35.803,0 days 01:26:18.881000,0 days 01:26:37.028000,0 days 01:27:12.831000,276.0,302.0,291.0,297.0,True,HARD,13.0,True,Haas F1 Team,0 days 01:25:50.035000,2024-03-24 04:30:33.233,1,11.0,False,,False,True,82.809,82.809
313,0 days 01:28:35.704000,MAG,20,0 days 00:01:22.860000,21.0,2.0,,,28.817,18.149,35.894,0 days 01:27:41.648000,0 days 01:27:59.797000,0 days 01:28:35.691000,,304.0,291.0,,False,HARD,14.0,True,Haas F1 Team,0 days 01:27:12.844000,2024-03-24 04:31:56.042,1,11.0,False,,False,True,82.86,82.86
314,0 days 01:29:59.019000,MAG,20,0 days 00:01:23.315000,22.0,2.0,,,28.881,18.063,36.371,0 days 01:29:04.572000,0 days 01:29:22.635000,0 days 01:29:59.006000,278.0,305.0,290.0,299.0,False,HARD,15.0,True,Haas F1 Team,0 days 01:28:35.704000,2024-03-24 04:33:18.902,1,11.0,False,,False,True,83.315,83.315
315,0 days 01:31:23.304000,MAG,20,0 days 00:01:24.285000,23.0,2.0,,,29.063,18.199,37.023,0 days 01:30:28.069000,0 days 01:30:46.268000,0 days 01:31:23.291000,273.0,302.0,302.0,295.0,False,HARD,16.0,True,Haas F1 Team,0 days 01:29:59.019000,2024-03-24 04:34:42.217,1,12.0,False,,False,True,84.285,84.285
316,0 days 01:32:46.634000,MAG,20,0 days 00:01:23.330000,24.0,2.0,,,28.96,18.161,36.209,0 days 01:31:52.251000,0 days 01:32:10.412000,0 days 01:32:46.621000,276.0,307.0,290.0,313.0,False,HARD,17.0,True,Haas F1 Team,0 days 01:31:23.304000,2024-03-24 04:36:06.502,1,12.0,False,,False,True,83.33,83.33000000000001
317,0 days 01:34:10.136000,MAG,20,0 days 00:01:23.502000,25.0,2.0,,,29.113,18.175,36.214,0 days 01:33:15.734000,0 days 01:33:33.909000,0 days 01:34:10.123000,,307.0,291.0,296.0,False,HARD,18.0,True,Haas F1 Team,0 days 01:32:46.634000,2024-03-24 04:37:29.832,1,12.0,False,,False,True,83.502,83.502
318,0 days 01:35:33.621000,MAG,20,0 days 00:01:23.485000,26.0,2.0,,,29.057,18.279,36.149,0 days 01:34:39.180000,0 days 01:34:57.459000,0 days 01:35:33.608000,275.0,305.0,293.0,299.0,False,HARD,19.0,True,Haas F1 Team,0 days 01:34:10.136000,2024-03-24 04:38:53.334,1,12.0,False,,False,True,83.485,83.485
319,0 days 01:36:57.146000,MAG,20,0 days 00:01:23.525000,27.0,2.0,,,29.057,18.167,36.301,,0 days 01:36:20.832000,0 days 01:36:57.133000,,308.0,292.0,,False,HARD,20.0,True,Haas F1 Team,0 days 01:35:33.621000,2024-03-24 04:40:16.819,1,11.0,False,,False,True,83.525,83.525
320,0 days 01:38:20.613000,MAG,20,0 days 00:01:23.467000,28.0,2.0,,,28.881,18.441,36.145,0 days 01:37:26.014000,0 days 01:37:44.455000,0 days 01:38:20.600000,276.0,304.0,291.0,300.0,False,HARD,21.0,True,Haas F1 Team,0 days 01:36:57.146000,2024-03-24 04:41:40.344,1,11.0,False,,False,True,83.467,83.46700000000001
321,0 days 01:39:44.069000,MAG,20,0 days 00:01:23.456000,29.0,2.0,,,28.996,18.266,36.194,0 days 01:38:49.596000,0 days 01:39:07.862000,0 days 01:39:44.056000,275.0,303.0,290.0,297.0,False,HARD,22.0,True,Haas F1 Team,0 days 01:38:20.613000,2024-03-24 04:43:03.811,1,11.0,False,,False,True,83.456,83.456
322,0 days 01:41:07.476000,MAG,20,0 days 00:01:23.407000,30.0,2.0,,,29.082,18.187,36.138,0 days 01:40:13.138000,0 days 01:40:31.325000,0 days 01:41:07.463000,,306.0,290.0,,False,HARD,23.0,True,Haas F1 Team,0 days 01:39:44.069000,2024-03-24 04:44:27.267,1,11.0,False,,False,True,83.407,83.40700000000001
323,0 days 01:42:30.692000,MAG,20,0 days 00:01:23.216000,31.0,2.0,,,29.001,18.254,35.961,0 days 01:41:36.464000,0 days 01:41:54.718000,0 days 01:42:30.679000,278.0,304.0,291.0,,False,HARD,24.0,True,Haas F1 Team,0 days 01:41:07.476000,2024-03-24 04:45:50.674,1,11.0,False,,False,True,83.216,83.21600000000001
324,0 days 01:43:54.088000,MAG,20,0 days 00:01:23.396000,32.0,2.0,,,29.113,18.248,36.035,0 days 01:42:59.792000,0 days 01:43:18.040000,0 days 01:43:54.075000,275.0,301.0,291.0,295.0,False,HARD,25.0,True,Haas F1 Team,0 days 01:42:30.692000,2024-03-24 04:47:13.890,1,11.0,False,,False,True,83.396,83.396
325,0 days 01:45:31.890000,MAG,20,0 days 00:01:37.802000,33.0,2.0,,0 days 01:45:15.854000,29.137,18.406,50.259,0 days 01:44:23.212000,0 days 01:44:41.618000,0 days 01:45:31.877000,270.0,307.0,,297.0,False,HARD,26.0,True,Haas F1 Team,0 days 01:43:54.088000,2024-03-24 04:48:37.286,1,13.0,False,,False,False,97.802,97.80199999999999
